cover,pages,publish_year,rating,rating_count,rating_5,rating_4,rating_3,rating_2,rating_1,rated_high
Hardcover,40,2006,4.21,28436,14392,7694,4708,1191,451,1
Paperback,64,1978,4.02,28420,12156,7447,6610,1678,529,1
Hardcover,40,1995,4.18,28355,13774,7992,4932,1193,464,1
Paperback,30,2003,4.03,28332,12126,7613,6506,1595,492,1
Paperback,32,1986,4.29,28117,14949,7611,4626,724,207,1
Hardcover,40,2003,4.21,27764,13958,7615,4661,1128,402,1
Board Book,24,1998,4.22,27625,14788,6461,4659,1227,490,1
Hardcover,56,1981,4.25,27449,13946,7745,4730,806,222,1
Paperback,315,2010,4,27113,10571,8872,5485,1478,707,0
Board Book,24,1996,4.02,26973,11517,6981,6495,1539,441,1
Hardcover,212,2016,4.35,26930,14991,7932,2866,702,439,1
Paperback,24,2001,4.23,26864,13926,6918,4712,914,394,1
Paperback,48,1987,4.14,26464,11969,7674,5617,984,220,1
Hardcover,112,2006,4.28,25997,13552,7575,3766,830,274,1
Paperback,32,2004,4.21,25910,12821,7195,4649,939,306,1
Hardcover,24,2001,4.23,25821,13342,6337,5013,877,252,1
Hardcover,216,2009,4.09,25791,11253,8043,4720,1152,623,1
Paperback,32,1995,4.15,25766,12096,7270,4988,1029,383,1
Paperback,513,2001,4,25625,10121,8251,5174,1401,678,0
Hardcover,22,1995,4.05,25390,10110,8335,5350,1189,406,1
Paperback,289,2005,3.86,25284,8600,8414,5466,1835,969,0
Paperback,32,1992,4.03,25099,10680,7235,5080,1376,728,1
Hardcover,32,2005,4.17,24640,12346,6312,4253,1186,543,1
Paperback,32,2011,4.18,24377,11881,6990,3928,1083,495,1
Paperback,32,1985,4.46,24039,15147,5710,2494,480,208,1
Hardcover,67,1999,4.3,24027,12935,6589,3594,651,258,1
Hardcover,336,1988,4.13,23433,10161,7809,4278,824,361,1
Hardcover,65,1969,4.2,22945,11739,5908,3920,936,442,1
Hardcover,258,2012,3.84,22806,6748,8169,5858,1464,567,0
Hardcover,368,2012,4.39,22516,14190,4608,2540,719,459,1
Paperback,32,1973,4.14,22472,10361,6674,4065,891,481,1
Paperback,64,1996,4.19,22283,10831,6241,4127,773,311,1
Hardcover,18,1999,4.07,22116,10592,4971,4664,1374,515,1
